Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00078	4	2	2	2	2	0
0.00307	6	3	3	2	2	0
0.00847	6	4	3	2	2	0
0.01002	6	5	2	4	2	0
0.01009	7	6	2	5	2	0
0.01079	7	7	2	5	2	0
0.01085	8	8	2	5	3	0.0451544
0.01089	8	9	2	5	3	0.195028
0.01155	8	10	2	5	3	0.291915
0.01162	9	12	2	5	4	0.421577
0.01233	9	13	2	5	4	0.546767
0.01244	9	14	2	5	4	0.752407
0.01247	10	15	2	6	4	1.00007
0.01311	12	16	2	10	2	0.808318
0.0135	12	17	2	10	2	0.6329
0.01387	12	18	2	10	2	0.510841
0.01401	12	19	2	10	2	0.431806
0.01465	14	20	3	10	2	1.35866
0.01469	14	21	3	10	2	1.30232
0.01482	14	23	3	10	2	1.27997
0.01517	15	27	2	13	2	0.219295
0.0152	16	28	2	14	2	0.217709
0.01543	16	29	2	14	2	0.216263
0.01626	17	30	2	15	2	0.201844
0.01638	19	31	3	15	2	1.18878
0.01661	19	32	3	15	2	1.17701
0.01688	20	35	2	18	2	0.139362
0.01691	20	36	2	18	2	0.106585
0.01696	21	37	2	19	2	0.0825604
0.01703	21	38	2	19	2	0.0648792
0.0171	21	39	2	19	2	0.0484793
0.01728	21	41	2	19	2	0.129122
0.01735	21	42	2	19	2	0.220285
0.01747	22	43	2	20	2	0.297654
0.01785	22	44	2	20	2	0.387062
0.01795	22	45	2	20	2	0.474162
0.01797	22	46	2	20	2	0.572803
0.0182	22	47	2	20	2	0.677133
0.01859	22	50	1	22	0	0.53977
0.01861	24	52	1	24	0	0.407628
0.01867	24	53	1	24	0	0.30742
0.01889	24	54	1	24	0	0.231526
0.01893	24	55	1	24	0	0.173675
0.01899	25	56	1	25	0	0.118657
0.01939	26	57	1	26	0	0.0666826
0.01962	26	58	1	26	0	0.0260334
0.01972	26	59	1	26	0	0.0237428
0.01984	26	60	1	26	0	0.0294141
0.02016	26	61	1	26	0	0.0349735
0.02018	27	65	1	27	0	0.0351691
0.02023	27	66	1	27	0	0.0379682
0.02029	27	68	1	27	0	0.0432358
0.02031	28	69	1	28	0	0.0484045
0.02035	29	71	1	29	0	0.050929
0.02041	30	73	1	30	0	0.0484045
0.02049	30	74	1	30	0	0.0459701
0.02052	30	75	1	30	0	0.0460128
0.02056	31	77	1	31	0	0.0437037
0.02099	31	78	1	31	0	0.0414728
0.02107	32	80	1	32	0	0.0348286
0.0211	33	81	1	33	0	0.026238
0.02113	33	83	1	33	0	0.0222303
0.0213	33	84	1	33	0	0.0203853
0.02133	34	86	1	34	0	-0.022675
0.02138	34	87	1	34	0	-0.0236749
0.02152	34	88	1	34	0	-0.0228558
0.02194	34	91	1	34	0	-0.0220551
0.02196	34	92	1	34	0	-0.0195042
0.02201	35	94	1	35	0	-0.019003
0.02204	35	96	1	35	0	-0.0185092
0.02207	37	98	2	35	2	0.0516558
0.02211	37	100	1	37	0	0.0452646
0.02217	37	102	1	37	0	0.039092
0.02219	37	104	1	37	0	0.0330584
0.02222	37	105	1	37	0	0.0291825
0.02231	37	106	1	37	0	0.025392
0.02256	37	107	1	37	0	0.0235731
0.02267	37	108	1	37	0	0.0217806
0.0227	37	109	1	37	0	-0.0105465
0.02273	37	110	1	37	0	-0.00870425
0.02284	37	111	1	37	0	-0.00686203
0.02323	38	112	1	38	0	-0.00851196
0.02347	38	113	1	38	0	-0.0101508
0.02351	38	114	1	38	0	-0.0117787
0.02353	38	116	1	38	0	-0.0133958
0.02368	38	117	1	38	0	-0.0150021
0.0237	38	119	1	38	0	-0.0165977
0.02372	38	120	1	38	0	-0.0181828
0.02374	38	124	1	38	0	-0.0197575
0.02379	38	125	1	38	0	-0.0197575
0.02383	38	127	1	38	0	-0.0197575
0.02391	38	128	1	38	0	-0.0197575
0.02394	38	129	1	38	0	-0.0197575
0.02399	38	130	1	38	0	-0.0197575
0.02407	38	131	1	38	0	-0.0197575
0.02411	38	132	1	38	0	-0.0197575
0.02414	38	133	1	38	0	-0.0197575
0.02425	38	134	1	38	0	-0.0197575
0.0243	38	136	1	38	0	-0.0197575
0.02436	38	137	1	38	0	-0.0197575
